latitude,longitude,date,died,injured,weather,day_part,accident_type
41.2776,69.207,2020-01-01 03:00:00,0,2,,tun,to'qnashuv
41.3827,69.2165,2020-01-01 14:00:00,0,3,,kunduz,turgan TVga urilish
41.3489,69.1767,2020-01-02 16:20:00,0,1,,kunduz,piyodani urib yuborish
41.3076,69.1617,2020-01-02 20:00:00,0,2,,kech,to'qnashuv
41.3548,69.3458,2020-01-05 18:30:00,0,1,,kunduz,piyodani urib yuborish
41.356,69.239,2020-01-05 19:30:00,0,1,,kech,piyodani urib yuborish
41.3697,69.2153,2020-01-08 14:00:00,1,1,,kunduz,to'siqqa urilish
41.2802,69.3061,2020-01-09 23:30:00,1,0,,kech,piyodani urib yuborish
41.3115,69.2405,2020-01-10 00:15:00,2,2,,,turgan TVga urilish
41.3273,69.337,2020-01-10 16:50:00,0,1,,kunduz,piyodani urib yuborish
41.2785,69.361,2020-01-11 23:50:00,1,0,,kech,piyodani urib yuborish
41.2696,69.1732,2020-01-11 16:30:00,0,1,,kunduz,piyodani urib yuborish
41.2381,69.3303,2020-01-11 12:00:00,0,1,,tong,piyodani urib yuborish
41.3838,69.3005,2020-01-13 02:10:00,0,1,,tun,piyodani urib yuborish
41.2728,69.2126,2020-01-13 09:45:00,0,1,,tong,to'qnashuv
41.283,69.2508,2020-01-14 17:00:00,0,1,,kunduz,piyodani urib yuborish
41.3717,69.1921,2020-01-14 17:25:00,0,1,,kunduz,piyodani urib yuborish
41.238,69.3303,2020-01-15 14:00:00,0,2,,kunduz,piyodani urib yuborish
41.2681,69.1472,2020-01-15 01:55:00,1,0,,tun,piyodani urib yuborish
41.274,69.2047,2020-01-15 00:10:00,1,6,,,to'qnashuv
41.2864,69.186,2020-01-15 00:01:00,0,6,,,turgan TVga urilish
41.2263,69.189,2020-01-16 10:10:00,0,1,,tong,to'siqqa urilish
41.3332,69.236,2020-01-17 14:00:00,0,1,,kunduz,piyodani urib yuborish
41.3367,69.3533,2020-01-17 09:45:00,0,1,,tong,piyodani urib yuborish
41.3332,69.236,2020-01-17 17:00:00,0,1,,kunduz,piyodani urib yuborish
41.2816,69.2397,2020-01-17 10:30:00,0,1,,tong,piyodani urib yuborish
41.2851,69.176,2020-01-18 17:00:00,0,1,,kunduz,to'qnashuv
41.2843,69.3486,2020-01-18 13:55:00,0,1,,kunduz,piyodani urib yuborish
41.3486,69.2874,2020-01-19 14:10:00,0,1,,kunduz,to'qnashuv
41.3147,69.295,2020-01-19 10:40:00,0,1,,tong,piyodani urib yuborish
41.3139,69.2864,2020-01-19 23:50:00,0,1,,kech,to'qnashuv
41.2256,69.2205,2020-01-20 11:30:00,0,1,,tong,to'siqqa urilish
41.2817,69.1804,2020-01-20 14:50:00,0,2,,kunduz,to'qnashuv
41.2645,69.1984,2020-01-20 20:00:00,0,1,,kech,piyodani urib yuborish
41.3011,69.1726,2020-01-21 09:00:00,0,1,,tong,piyodani urib yuborish
41.2702,69.1745,2020-01-21 10:20:00,0,1,,tong,piyodani urib yuborish
41.2724,69.193,2020-01-22 05:40:00,0,2,,tun,YTHning boshqa turlari
41.3774,69.3094,2020-01-22 19:00:00,0,1,,kech,piyodani urib yuborish
41.301,69.2898,2020-01-23 19:00:00,0,1,,kech,piyodani urib yuborish
41.348,69.194,2020-01-24 10:50:00,0,2,,tong,to'qnashuv
41.2333,69.3347,2020-01-25 23:50:00,0,2,,kech,to'siqqa urilish
41.277,69.3723,2020-01-25 17:35:00,0,2,,kunduz,piyodani urib yuborish
41.276,69.2027,2020-01-25 13:30:00,0,1,,kunduz,to'qnashuv
41.2045,69.2574,2020-01-25 18:15:00,1,3,,kunduz,to'qnashuv
41.3443,69.3825,2020-01-27 14:15:00,0,1,,kunduz,piyodani urib yuborish
41.3574,69.2359,2020-01-28 06:30:00,0,1,,tun,piyodani urib yuborish
41.3625,69.2889,2020-01-28 10:00:00,0,1,,tong,to'qnashuv
41.2908,69.2511,2020-01-30 01:00:00,0,1,,tun,piyodani urib yuborish
41.3667,69.2922,2020-01-30 08:45:00,0,1,,tong,piyodani urib yuborish
41.37,69.3112,2020-01-31 19:30:00,0,3,,kech,to'qnashuv
41.2414,69.336,2020-01-31 20:02:00,0,1,,kech,piyodani urib yuborish
41.2245,69.2214,2020-01-31 18:00:00,0,1,,kunduz,piyodani urib yuborish
41.2952,69.1761,2020-01-31 19:00:00,0,1,,kech,piyodani urib yuborish
41.3266,69.2829,2020-02-01 13:55:00,0,1,,kunduz,piyodani urib yuborish
41.2565,69.2025,2020-02-03 14:45:00,0,1,,kunduz,piyodani urib yuborish
41.3106,69.3346,2020-02-03 15:00:00,0,1,,kunduz,piyodani urib yuborish
41.3263,69.3261,2020-02-04 20:00:00,0,2,,kech,to'qnashuv
41.3737,69.3079,2020-02-04 19:30:00,0,1,,kech,piyodani urib yuborish
41.2554,69.1908,2020-02-04 15:00:00,0,1,,kunduz,piyodani urib yuborish
41.271,69.1672,2020-02-05 17:00:00,0,1,,kunduz,piyodani urib yuborish
41.2784,69.2449,2020-02-05 09:30:00,0,1,,tong,piyodani urib yuborish
41.283,69.1793,2020-02-05 15:50:00,1,2,,kunduz,to'qnashuv
41.2781,69.2455,2020-02-06 03:40:00,0,2,,tun,to'qnashuv
41.2855,69.2332,2020-02-06 00:35:00,1,3,,,to'qnashuv
41.3618,69.1827,2020-02-07 10:15:00,0,2,,tong,piyodani urib yuborish
41.2081,69.2551,2020-02-07 13:30:00,0,1,,kunduz,piyodani urib yuborish
41.2847,69.3046,2020-02-08 12:20:00,0,1,,tong,piyodani urib yuborish
41.2449,69.175,2020-02-08 14:00:00,0,1,,kunduz,piyodani urib yuborish
41.3626,69.2721,2020-02-09 19:05:00,0,1,,kech,piyodani urib yuborish
41.3632,69.2982,2020-02-11 15:50:00,0,2,,kunduz,to'qnashuv
41.3295,69.3465,2020-02-11 11:30:00,0,1,,tong,to'qnashuv
41.3056,69.1525,2020-02-11 22:11:00,0,1,,kech,piyodani urib yuborish
41.3218,69.3215,2020-02-12 17:05:00,0,1,,kunduz,piyodani urib yuborish
41.3478,69.1998,2020-02-13 15:15:00,0,1,,kunduz,piyodani urib yuborish
41.2738,69.3106,2020-02-13 20:55:00,0,1,,kech,piyodani urib yuborish
41.3419,69.3014,2020-02-13 19:50:00,0,1,,kech,piyodani urib yuborish
41.293,69.2041,2020-02-14 18:00:00,0,1,,kunduz,piyodani urib yuborish
41.3056,69.1521,2020-02-14 21:00:00,0,1,,kech,turgan TVga urilish
41.2806,69.3069,2020-02-15 15:00:00,0,1,,kunduz,piyodani urib yuborish
41.245,69.3114,2020-02-15 19:00:00,0,1,,kech,piyodani urib yuborish
41.2402,69.1964,2020-02-16 07:30:00,3,3,,tong,piyodani urib yuborish
41.3312,69.3314,2020-02-17 20:57:00,0,1,,kech,piyodani urib yuborish
41.2384,69.3493,2020-02-17 07:10:00,0,1,,tong,to'siqqa urilish
41.2542,69.2,2020-02-17 08:10:00,1,0,,tong,to'qnashuv
